id,year,value
BN,2002,
BT,2002,
BW,2002,
CF,2002,
CA,2002,22.5
CH,2002,24.70000076
CL,2002,23.89999962
CN,2002,21.39999962
CI,2002,
CM,2002,
CG,2002,
CO,2002,18.5
KM,2002,
CV,2002,
CR,2002,22.5
CU,2002,20.20000076
CW,2002,
KY,2002,
CY,2002,23
CZ,2002,39.59999847
DE,2002,32.40000153
DJ,2002,
DM,2002,
DK,2002,23.79999924
DO,2002,21.10000038
DZ,2002,
EC,2002,
EG,2002,20.60000038
ER,2002,
ES,2002,31.20000076
EE,2002,31.29999924
ET,2002,
FI,2002,26.70000076
FJ,2002,
FR,2002,25.39999962
FO,2002,
FM,2002,
GA,2002,
GB,2002,23.70000076
GE,2002,8.199999809
GH,2002,
GN,2002,
GM,2002,
GW,2002,
GQ,2002,
GR,2002,22.79999924
GD,2002,
GL,2002,
GT,2002,20
GU,2002,
GY,2002,24.5
HK,2002,18.29999924
HN,2002,21.79999924
HR,2002,29.70000076
HT,2002,
HU,2002,34.09999847
ID,2002,18.79999924
IN,2002,
IE,2002,27.89999962
IR,2002,
IQ,2002,
IS,2002,23.10000038
IL,2002,22.20000076
IT,2002,31.60000038
JM,2002,17.29999924
JO,2002,21.39999962
JP,2002,29.70000076
KZ,2002,16.29999924
KE,2002,
KG,2002,12
KH,2002,
KI,2002,
KN,2002,
KR,2002,27.29999924
XK,2002,
KW,2002,
LA,2002,
LB,2002,
LR,2002,
LY,2002,
LC,2002,16.89999962
LI,2002,
LK,2002,22.39999962
LS,2002,
LT,2002,27.5
LU,2002,20
LV,2002,25.60000038
MO,2002,28.60000038
MF,2002,
MA,2002,20.10000038
MC,2002,
MD,2002,14.39999962
MG,2002,
MV,2002,
MX,2002,24.79999924
MH,2002,
MK,2002,33.29999924
ML,2002,
MT,2002,30.89999962
MM,2002,
ME,2002,
MN,2002,14.30000019
MP,2002,
MZ,2002,
MR,2002,
MU,2002,38
MW,2002,
MY,2002,32
NA,2002,
NC,2002,
NE,2002,
NG,2002,
NI,2002,
NL,2002,19
NO,2002,21.70000076
NP,2002,
NZ,2002,22.60000038
OM,2002,
PK,2002,20.79999924
PA,2002,16.39999962
PE,2002,21.70000076
PH,2002,15.60000038
PW,2002,
PG,2002,
PL,2002,28.60000038
PR,2002,20
KP,2002,
PT,2002,33.40000153
PY,2002,15.30000019
PF,2002,17.89999962
QA,2002,
RO,2002,29.5
RU,2002,29.5
RW,2002,
SA,2002,21
SD,2002,
SN,2002,
SG,2002,25.10000038
SB,2002,
SL,2002,
SV,2002,24.20000076
SM,2002,40.70000076
SO,2002,
RS,2002,
SS,2002,
ST,2002,
SR,2002,
SK,2002,38.40000153
SI,2002,38.59999847
SE,2002,23.10000038
SZ,2002,
SX,2002,
SC,2002,
SY,2002,27.70000076
TC,2002,15.89999962
TD,2002,
TG,2002,
TH,2002,19.79999924
