file-name,row-index,row-values
gdp-usd-2005.csv,229,"BD, 2001, 48708877344"
gdp-usd-2005.csv,230,"BG, 2001, 23575583113"
gdp-usd-2005.csv,231,"BH, 2001, 12726454402"
gdp-usd-2005.csv,232,"BS, 2001, 7285527215"
gdp-usd-2005.csv,233,"BA, 2001, 8937389110"
gdp-usd-2005.csv,234,"BY, 2001, 22035357859"
gdp-usd-2005.csv,236,"BM, 2001, 4592893272"
gdp-usd-2005.csv,237,"BO, 2001, 8339493389"
gdp-usd-2005.csv,239,"BB, 2001, 3593519264"
gdp-usd-2005.csv,240,"BN, 2001, 8838152034"
gdp-usd-2005.csv,242,"BW, 2001, 8333476563"
gdp-usd-2005.csv,243,"CF, 2001, 1287916287"
gdp-usd-2005.csv,248,"CI, 2001, 17081959929"
gdp-usd-2005.csv,249,"CM, 2001, 14451324393"
gdp-usd-2005.csv,250,"CG, 2001, 5177816322"
gdp-usd-2005.csv,254,"CR, 2001, 16516835260"
gdp-usd-2005.csv,255,"CU, 2001, 34439811630"
gdp-usd-2005.csv,258,"CY, 2001, 15081936318"
gdp-usd-2005.csv,264,"DO, 2001, 29081958770"
gdp-usd-2005.csv,265,"DZ, 2001, 82534408887"
gdp-usd-2005.csv,266,"EC, 2001, 34068558675"
gdp-usd-2005.csv,267,"EG, 2001, 78069229640"
gdp-usd-2005.csv,268,"ER, 2001, 1052690320"
gdp-usd-2005.csv,270,"EE, 2001, 10532558449"
gdp-usd-2005.csv,271,"ET, 2001, 9831733147"
gdp-usd-2005.csv,273,"FJ, 2001, 2720412714"
gdp-usd-2005.csv,277,"GA, 2001, 8121076102"
gdp-usd-2005.csv,279,"GE, 2001, 4717486805"
gdp-usd-2005.csv,280,"GH, 2001, 8729392309"
gdp-usd-2005.csv,281,"GN, 2001, 2616883048"
gdp-usd-2005.csv,284,"GQ, 2001, 3746609852"
gdp-usd-2005.csv,287,"GL, 2001, 1648322347"
gdp-usd-2005.csv,288,"GT, 2001, 23988727948"
gdp-usd-2005.csv,292,"HN, 2001, 7914574068"
gdp-usd-2005.csv,293,"HR, 2001, 37706653030"
gdp-usd-2005.csv,294,"HT, 2001, 4225461660"
gdp-usd-2005.csv,295,"HU, 2001, 94443450703"
gdp-usd-2005.csv,300,"IQ, 2001, 49835634708"
gdp-usd-2005.csv,301,"IS, 2001, 14191590145"
gdp-usd-2005.csv,305,"JO, 2001, 9728503194"
gdp-usd-2005.csv,307,"KZ, 2001, 39589173124"
gdp-usd-2005.csv,308,"KE, 2001, 16265076195"
gdp-usd-2005.csv,309,"KG, 2001, 2151553593"
gdp-usd-2005.csv,310,"KH, 2001, 4350296727"
gdp-usd-2005.csv,314,"XK, 2001, 3269061628"
gdp-usd-2005.csv,315,"KW, 2001, 54841211342"
gdp-usd-2005.csv,316,"LA, 2001, 2137482123"
gdp-usd-2005.csv,317,"LB, 2001, 18070698831"
gdp-usd-2005.csv,319,"LY, 2001, 34384197201"
gdp-usd-2005.csv,321,"LI, 2001, 3488522187"
gdp-usd-2005.csv,322,"LK, 2001, 19779925100"
gdp-usd-2005.csv,323,"LS, 2001, 1237513481"
gdp-usd-2005.csv,324,"LT, 2001, 19132334492"
gdp-usd-2005.csv,325,"LU, 2001, 32426876586"
gdp-usd-2005.csv,326,"LV, 2001, 11693345404"
gdp-usd-2005.csv,327,"MO, 2001, 6982629721"
gdp-usd-2005.csv,329,"MA, 2001, 50211723276"
gdp-usd-2005.csv,330,"MC, 2001, 4013883856"
gdp-usd-2005.csv,331,"MD, 2001, 2252309715"
gdp-usd-2005.csv,332,"MG, 2001, 4774057852"
gdp-usd-2005.csv,336,"MK, 2001, 5287163002"
gdp-usd-2005.csv,337,"ML, 2001, 4373655808"
gdp-usd-2005.csv,338,"MT, 2001, 5632483775"
gdp-usd-2005.csv,340,"ME, 2001, 1986680633"
gdp-usd-2005.csv,341,"MN, 2001, 1897693809"
gdp-usd-2005.csv,343,"MZ, 2001, 4823897318"
gdp-usd-2005.csv,344,"MR, 2001, 1569192219"
gdp-usd-2005.csv,345,"MU, 2001, 5545243277"
gdp-usd-2005.csv,346,"MW, 2001, 2381283984"
gdp-usd-2005.csv,348,"NA, 2001, 5775064256"
gdp-usd-2005.csv,350,"NE, 2001, 3001387130"
gdp-usd-2005.csv,351,"NG, 2001, 70843863904"
gdp-usd-2005.csv,352,"NI, 2001, 5573540924"
gdp-usd-2005.csv,355,"NP, 2001, 7211923684"
gdp-usd-2005.csv,356,"NZ, 2001, 97381225746"
gdp-usd-2005.csv,357,"OM, 2001, 31103102403"
gdp-usd-2005.csv,358,"PK, 2001, 87523717381"
gdp-usd-2005.csv,359,"PA, 2001, 12595604491"
gdp-usd-2005.csv,360,"PE, 2001, 61175710374"
gdp-usd-2005.csv,361,"PH, 2001, 84736978727"
gdp-usd-2005.csv,363,"PG, 2001, 4515703442"
gdp-usd-2005.csv,365,"PR, 2001, 79617746426"
gdp-usd-2005.csv,368,"PY, 2001, 7880007448"
gdp-usd-2005.csv,370,"QA, 2001, 31257094617"
gdp-usd-2005.csv,371,"RO, 2001, 78899950997"
gdp-usd-2005.csv,373,"RW, 2001, 1960558679"
gdp-usd-2005.csv,375,"SD, 2001, 20717358674"
gdp-usd-2005.csv,376,"SN, 2001, 7251129781"
gdp-usd-2005.csv,377,"SG, 2001, 99424345537"
gdp-usd-2005.csv,379,"SL, 2001, 1061548359"
gdp-usd-2005.csv,380,"SV, 2001, 15479137440"
gdp-usd-2005.csv,381,"SM, 2001, 1233508542"
gdp-usd-2005.csv,383,"RS, 2001, 20394534308"
gdp-usd-2005.csv,386,"SR, 2001, 1419803818"
gdp-usd-2005.csv,387,"SK, 2001, 50642800522"
gdp-usd-2005.csv,388,"SI, 2001, 31360118885"
gdp-usd-2005.csv,390,"SZ, 2001, 2355167498"
gdp-usd-2005.csv,393,"SY, 2001, 23860777801"
gdp-usd-2005.csv,395,"TD, 2001, 3405989335"
gdp-usd-2005.csv,396,"TG, 2001, 1968618439"
gdp-usd-2005.csv,398,"TJ, 2001, 1597515886"
gdp-usd-2005.csv,399,"TM, 2001, 6594915418"
gdp-usd-2005.csv,402,"TT, 2001, 11405664804"
gdp-usd-2005.csv,403,"TN, 2001, 27467386276"
gdp-usd-2005.csv,406,"TZ, 2001, 10664100660"
gdp-usd-2005.csv,407,"UG, 2001, 6855544615"
gdp-usd-2005.csv,408,"UA, 2001, 65013855829"
gdp-usd-2005.csv,409,"UY, 2001, 16543726221"
gdp-usd-2005.csv,411,"UZ, 2001, 11456804808"
gdp-usd-2005.csv,415,"VN, 2001, 43845607803"
gdp-usd-2005.csv,417,"PS, 2001, 3715867944"
gdp-usd-2005.csv,419,"YE, 2001, 14152191675"
gdp-usd-2005.csv,421,"CD, 2001, 9716828589"
gdp-usd-2005.csv,422,"ZM, 2001, 6495106581"
gdp-usd-2005.csv,423,"ZW, 2001, 8569076991"
gdp-usd-2005.csv,424,"AW, 2002, 2134650786"
gdp-usd-2005.csv,425,"AD, 2002, 2109356389"
gdp-usd-2005.csv,426,"AF, 2002, 5150441047"
gdp-usd-2005.csv,427,"AO, 2002, 20457911760"
gdp-usd-2005.csv,428,"AL, 2002, 7093142540"
gdp-usd-2005.csv,431,"AM, 2002, 3416219125"
gdp-usd-2005.csv,436,"AZ, 2002, 8551303777"
gdp-usd-2005.csv,437,"BI, 2002, 1069319612"
gdp-usd-2005.csv,439,"BJ, 2002, 3954899568"
gdp-usd-2005.csv,440,"BF, 2002, 4463498007"
gdp-usd-2005.csv,441,"BD, 2002, 50859574435"
gdp-usd-2005.csv,442,"BG, 2002, 24631821956"
gdp-usd-2005.csv,443,"BH, 2002, 13186407218"
gdp-usd-2005.csv,444,"BS, 2002, 7482573735"
gdp-usd-2005.csv,445,"BA, 2002, 9411070757"
gdp-usd-2005.csv,446,"BY, 2002, 23147100568"
gdp-usd-2005.csv,448,"BM, 2002, 4525019938"
gdp-usd-2005.csv,449,"BO, 2002, 8546776986"
gdp-usd-2005.csv,451,"BB, 2002, 3617690072"
gdp-usd-2005.csv,452,"BN, 2002, 9180373875"
gdp-usd-2005.csv,454,"BW, 2002, 8839279496"
gdp-usd-2005.csv,455,"CF, 2002, 1334493625"
gdp-usd-2005.csv,460,"CI, 2002, 16837549854"
gdp-usd-2005.csv,461,"CM, 2002, 15030684429"
gdp-usd-2005.csv,462,"CG, 2002, 5415057137"
gdp-usd-2005.csv,466,"CR, 2002, 16996184390"
gdp-usd-2005.csv,467,"CU, 2002, 34931815614"
gdp-usd-2005.csv,470,"CY, 2002, 15397335239"
gdp-usd-2005.csv,476,"DO, 2002, 30765282834"
gdp-usd-2005.csv,477,"DZ, 2002, 87156335785"
gdp-usd-2005.csv,478,"EC, 2002, 35464271435"
gdp-usd-2005.csv,479,"EG, 2002, 79919852219"
gdp-usd-2005.csv,480,"ER, 2002, 1084328177"
gdp-usd-2005.csv,482,"EE, 2002, 11177325648"
gdp-usd-2005.csv,483,"ET, 2002, 9980656936"
gdp-usd-2005.csv,485,"FJ, 2002, 2807465937"
gdp-usd-2005.csv,489,"GA, 2002, 8099380302"
gdp-usd-2005.csv,491,"GE, 2002, 4975714395"
gdp-usd-2005.csv,492,"GH, 2002, 9122214936"
gdp-usd-2005.csv,493,"GN, 2002, 2752034838"
gdp-usd-2005.csv,496,"GQ, 2002, 4475806310"
gdp-usd-2005.csv,499,"GL, 2002, 1632314204"
gdp-usd-2005.csv,500,"GT, 2002, 24916285306"
gdp-usd-2005.csv,504,"HN, 2002, 8211713918"
gdp-usd-2005.csv,505,"HR, 2002, 39684922977"
gdp-usd-2005.csv,506,"HT, 2002, 4214412153"
gdp-usd-2005.csv,507,"HU, 2002, 98685045032"
gdp-usd-2005.csv,512,"IQ, 2002, 46396886098"
gdp-usd-2005.csv,513,"IS, 2002, 14255942205"
gdp-usd-2005.csv,517,"JO, 2002, 10292015596"
gdp-usd-2005.csv,519,"KZ, 2002, 43468912091"
gdp-usd-2005.csv,520,"KE, 2002, 16354023315"
gdp-usd-2005.csv,521,"KG, 2002, 2151180233"
gdp-usd-2005.csv,522,"KH, 2002, 4641239389"
gdp-usd-2005.csv,526,"XK, 2002, 3246147197"
gdp-usd-2005.csv,527,"KW, 2002, 56486447682"
gdp-usd-2005.csv,528,"LA, 2002, 2263994326"
gdp-usd-2005.csv,529,"LB, 2002, 18680381901"
