id,year,budget-type,l1,l2,l3,l4,value
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,156722224.457816
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,72652336.5054611
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,84069887.9523552
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,114971393.7664
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,48537375.424
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,10355582.3024
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,56078436.04
SN,2013,budget,water-and-sanitation,,,,114774853.884275
SN,2014,budget,water-and-sanitation,,,,73660675.7431601
SN,2015,budget,water-and-sanitation,,,,101228434.268845
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,114774853.884275
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,2603807.66601485
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,1579892.28749885
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,1023915.378516
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,112171046.21826
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,23066599.16826
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,37747417.05
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,51357030
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,73660675.7431601
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,2937525.28933405
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,1586590.53196305
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,1350934.757371
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,70723150.453826
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,19620593.235326
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,12212168.8356
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,38890388.3829
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,101228434.268845
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,3683250.45604528
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,1779707.06328848
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,1903543.3927568
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,97545183.8128
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,5451369.12
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,36342460.8
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,55751353.8928
SN,2013,budget,agriculture,,,,349221641.1564
SN,2014,budget,agriculture,,,,335129134.2477
SN,2015,budget,agriculture,,,,393530298.7216
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,,,272356601.496
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,,19551311.1245388
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,wage,3736578.54252074
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,non-wage,15814732.5820181
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,,252806007.3156
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-grants,63165038.3376
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-loans,49980661.596
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,government-funded,139660307.382
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,,,27466211.3480491
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,,5347765.66764914
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,wage,3736578.54252074
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,non-wage,1611187.1251284
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,,22118445.6804
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-grants,1887884.4228
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-loans,8213016.2376
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,government-funded,12017545.02
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,,,49398556.9418043
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,,4212587.66660434
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,wage,2755903.03052794
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,non-wage,1456684.6360764
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,,45185969.2752
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-grants,2978.70774
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-loans,29828.163024
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,government-funded,45153162.404436
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,,,279997477.018
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,,20726265.1454625
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,wage,4130002.61916334
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,non-wage,16596262.5262992
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,,259271337.0327
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-grants,63148234.3181
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-loans,72087489.8770917
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,government-funded,124036343.32
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,,,29400944.2331227
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,,5324158.0608227
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,wage,3543098.1469358
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,non-wage,1781059.9138869
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,,24076786.1723
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-grants,4076966.3853
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-loans,7512939.587
SN,2014,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,government-funded,12486880.2
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,,,25730808.7293255
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,,3932147.7110338
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,wage,2390507.0758083
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,non-wage,1541640.6352255
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,,21798661.0182917
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-grants,6243440.1
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-loans,3276455.3882917
SN,2014,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,government-funded,12278765.53
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,,,334423324.2816
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,,47736530.4138389
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,wage,3929976.27273654
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,non-wage,43806554.1411024
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,,286687502.0208
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-grants,105998844
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-loans,82119828.2288
SN,2015,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,government-funded,98568829.792
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,,,31581614.7085463
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,,6038921.84294634
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,wage,3638682.00038474
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,non-wage,2400239.8425616
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,,25542692.8656
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-grants,3028538.4
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-loans,11409513.6656
SN,2015,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,government-funded,11104640.8
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,,,27525497.4693801
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,,3812041.7973801
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,wage,2317062.3679625
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,non-wage,1494979.4294176
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,,23713455.672
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-grants,5855174.24
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-loans,7712677.792
SN,2015,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,government-funded,10145603.64
SN,2013,budget,interest-payments,,,,299925055.2
SN,2014,budget,interest-payments,,,,270549071
SN,2015,budget,interest-payments,,,,298815788.8
SN,2013,budget,interest-payments,exernal-interest,,,131473996.8
SN,2013,budget,interest-payments,exernal-interest,recurrent,,131473996.8
SN,2013,budget,interest-payments,exernal-interest,recurrent,wage,0
SN,2013,budget,interest-payments,exernal-interest,recurrent,non-wage,131473996.8
SN,2013,budget,interest-payments,exernal-interest,capital,,0
SN,2013,budget,interest-payments,exernal-interest,capital,external-funded-grants,0
SN,2013,budget,interest-payments,exernal-interest,capital,external-funded-loans,0
SN,2013,budget,interest-payments,exernal-interest,capital,government-funded,0
SN,2013,budget,interest-payments,domestic-interest,,,168451058.4
SN,2013,budget,interest-payments,domestic-interest,recurrent,,168451058.4
SN,2013,budget,interest-payments,domestic-interest,recurrent,wage,0
SN,2013,budget,interest-payments,domestic-interest,recurrent,non-wage,168451058.4
SN,2013,budget,interest-payments,domestic-interest,capital,,0
SN,2013,budget,interest-payments,domestic-interest,capital,external-funded-grants,0
SN,2013,budget,interest-payments,domestic-interest,capital,external-funded-loans,0
SN,2013,budget,interest-payments,domestic-interest,capital,government-funded,0
SN,2014,budget,interest-payments,exernal-interest,,,149842562.4
SN,2014,budget,interest-payments,exernal-interest,recurrent,,149842562.4
SN,2014,budget,interest-payments,exernal-interest,recurrent,wage,0
SN,2014,budget,interest-payments,exernal-interest,recurrent,non-wage,149842562.4
SN,2014,budget,interest-payments,exernal-interest,capital,,0
SN,2014,budget,interest-payments,exernal-interest,capital,external-funded-grants,0
SN,2014,budget,interest-payments,exernal-interest,capital,external-funded-loans,0
SN,2014,budget,interest-payments,exernal-interest,capital,government-funded,0
SN,2014,budget,interest-payments,domestic-interest,,,120706508.6
SN,2014,budget,interest-payments,domestic-interest,recurrent,,120706508.6
SN,2014,budget,interest-payments,domestic-interest,recurrent,wage,0
SN,2014,budget,interest-payments,domestic-interest,recurrent,non-wage,120706508.6
SN,2014,budget,interest-payments,domestic-interest,capital,,0
SN,2014,budget,interest-payments,domestic-interest,capital,external-funded-grants,0
SN,2014,budget,interest-payments,domestic-interest,capital,external-funded-loans,0
SN,2014,budget,interest-payments,domestic-interest,capital,government-funded,0
SN,2015,budget,interest-payments,exernal-interest,,,149407894.4
SN,2015,budget,interest-payments,exernal-interest,recurrent,,149407894.4
SN,2015,budget,interest-payments,exernal-interest,recurrent,wage,0
SN,2015,budget,interest-payments,exernal-interest,recurrent,non-wage,149407894.4
SN,2015,budget,interest-payments,exernal-interest,capital,,0
SN,2015,budget,interest-payments,exernal-interest,capital,external-funded-grants,0
SN,2015,budget,interest-payments,exernal-interest,capital,external-funded-loans,0
SN,2015,budget,interest-payments,exernal-interest,capital,government-funded,0
SN,2015,budget,interest-payments,domestic-interest,,,149407894.4
SN,2015,budget,interest-payments,domestic-interest,recurrent,,149407894.4
SN,2015,budget,interest-payments,domestic-interest,recurrent,wage,0
SN,2015,budget,interest-payments,domestic-interest,recurrent,non-wage,149407894.4
SN,2015,budget,interest-payments,domestic-interest,capital,,0
SN,2015,budget,interest-payments,domestic-interest,capital,external-funded-grants,0
SN,2015,budget,interest-payments,domestic-interest,capital,external-funded-loans,0
SN,2015,budget,interest-payments,domestic-interest,capital,government-funded,0
SN,2013,budget,industry-energy-and-mining,,,,183196140.524862
SN,2014,budget,industry-energy-and-mining,,,,211981440.5686
SN,2015,budget,industry-energy-and-mining,,,,245406504.6032
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,,,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,wage,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,non-wage,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,external-funded-grants,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,external-funded-loans,
SN,2013,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,government-funded,
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,,,183196140.524862
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,recurrent,,1371711.5128621
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,recurrent,wage,783162.003343296
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,recurrent,non-wage,588549.5095188
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,,181824429.012
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,external-funded-grants,16658166.2508
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,external-funded-loans,129140333.3568
SN,2013,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,government-funded,36025929.4044
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,,,8537614.9324899
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,,2943492.6028899
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,wage,542606.848488698
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,non-wage,2400885.7544012
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,,5594122.3296
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,external-funded-grants,1007275.0028
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,external-funded-loans,0
SN,2014,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,capital,government-funded,4586847.3268
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,,,203444331.937479
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,recurrent,,16437933.7552465
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,recurrent,wage,455480.474351878
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,recurrent,non-wage,15982453.2808946
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,,187006398.182233
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,external-funded-grants,20424065.7040884
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,external-funded-loans,129150827.931944
SN,2014,budget,industry-energy-and-mining,ministere-de-lenergie-et-du-developpement-des-energies-renouvelables,capital,government-funded,37431504.5462
SN,2015,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,,,44218828.6293088
SN,2015,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,,3398169.04850877
SN,2015,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,wage,511794.279055968
SN,2015,budget,industry-energy-and-mining,ministere-de-lindustrie-et-des-mines,recurrent,non-wage,2886374.7694528
