value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
tanker-truck,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,1
protected dug well,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,0
cart with small tank/ drum,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,1
unprotected dug well,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,1
piped into dwelling,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,0,0
piped into public water kiosk,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,0
"surface water (river, stream, lake, pond)",water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,1
unprotected spring,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,1
protected spring,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,0
bottled water,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,0,0
"rain, snow water",water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,1,1
pit latrine with slab,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
flush to pit latrine,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
ventilated improved pit latrine,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
flush to piped sewer system,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
flush to septic tank,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
open defecation,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
"pit latrine without slab, open pit",toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
other,toilets,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
non-formal education programme,school,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,primary,NAN,NAN,NAN,NAN
no,attended,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,0,,NAN,NAN,NAN,NAN
other,water,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
pre-school,school,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,preschool,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
yes,attended,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,1,,NAN,NAN,NAN,NAN
no,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
"university, institute, college",school,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
yes,ynm,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
vocational training center,school,Mongolia (Khuvsgul Aimag)_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
dk,school,Mongolia MICS 2005 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
1,ynm,Mongolia MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
general educational school,school,Mongolia MICS 2005 SPSS Datasets,,,,primary,NAN,NAN,NAN,NAN
"institute, college",school,Mongolia MICS 2005 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
rural,urban.rural,Mongolia MICS 2005 SPSS Datasets,0,,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,attended,Mongolia MICS 2005 SPSS Datasets,,,NAN,,NAN,NAN,NAN,NAN
na,school,Mongolia MICS 2005 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,school,Mongolia MICS 2005 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
reused wood,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
wood planks/shingles,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
bricks,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
other,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
single,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
double,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
stone with lime/cement,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
stone with mud,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
cement blocks,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
cement,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
plywood,wall,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
cement,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
wood planks,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
earth/sand,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
other,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
dung,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
vinyl or asphalt strips,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
parquet or polished wood,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
na,floor,Mongolia MICS 2005 SPSS Datasets,,,,,NAN,NAN,NAN,NAN
ceramic tiles,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
bamboo,floor,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
protected well,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
pumped well,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
surface water,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
protected spring,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
unprotected well,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
unprotected spring,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
rain/snow water collection,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
public tap/standpipe,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
piped into yard or plot,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,0,0
piped into dwelling,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,0,0
tanker-truck,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
pit latrine without slab/open pit,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
pit latrine with slab,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
no facilities or bush or field,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
NAN,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
ventilated improved pit latrine,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
flush to piped sewer system,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
flush to pit (latrine),toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
other,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
dk,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
flush to septic tank,toilets,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
non-standard curriculum,school,Mongolia MICS 2005 SPSS Datasets,,,,primary,NAN,NAN,NAN,NAN
no,attended,Mongolia MICS 2005 SPSS Datasets,,,0,,NAN,NAN,NAN,NAN
other,water,Mongolia MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
preschool/kindergarten,school,Mongolia MICS 2005 SPSS Datasets,,,,preschool,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
urban,urban.rural,Mongolia MICS 2005 SPSS Datasets,1,,,,NAN,NAN,NAN,NAN
religious school,school,Mongolia MICS 2005 SPSS Datasets,,,,primary,NAN,NAN,NAN,NAN
yes,attended,Mongolia MICS 2005 SPSS Datasets,,,1,,NAN,NAN,NAN,NAN
no,ynm,Mongolia MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
university,school,Mongolia MICS 2005 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
yes,ynm,Mongolia MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
vocational,school,Mongolia MICS 2005 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
aimag center,urban.rural,Mongolia_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
capital city,urban.rural,Mongolia_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
dk,school,Mongolia_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
missing,attended,Mongolia_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
general educational school,school,Mongolia_MICS4_Datasets,,,,primary,NAN,NAN,NAN,NAN
rural,urban.rural,Mongolia_MICS4_Datasets,0,,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
missing,school,Mongolia_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,attended,Mongolia_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Mongolia_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
3,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
soum center,urban.rural,Mongolia_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
non-formal education programme,school,Mongolia_MICS4_Datasets,,,,primary,NAN,NAN,NAN,NAN
wood planks,wall,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
blocks,wall,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
single,wall,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
bricks,wall,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
"raw bricks, blocks",wall,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
stone with mud,wall,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
double,wall,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
straw-bale with mud,wall,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
concrete,wall,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
other,wall,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
cement,wall,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
missing,wall,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
wood planks,floor,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
"earth, sand, soil",floor,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
NAN,floor,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
other,floor,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
cement,floor,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
"concrete, vinyl or asphalt strips",floor,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
dung,floor,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
missing,floor,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
"tube well, borehole",water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,0
protected dug well,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,0
piped into dwelling,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,0,0
protected spring,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,0
"surface water (river, stream, lake, pond)",water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,1
unprotected spring,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,1
piped into public water kiosk,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,0
tanker-truck,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,1
cart with small tank/ drum,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,1
unprotected dug well,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,1
"rain, snow water",water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,1,1
bottled water,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,0,0
pit latrine with slab,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
ventilated improved pit latrine,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
flush to septic tank,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
missing,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
open defecation,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
mobile latrine,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
"pit latrine without slab, open pit",toilets,Mongolia_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
flush to piped sewer system,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
other,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
flush to pit latrine,toilets,Mongolia_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
missing,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
no,attended,Mongolia_MICS4_Datasets,,,0,,NAN,NAN,NAN,NAN
other,water,Mongolia_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
pre-school,school,Mongolia_MICS4_Datasets,,,,preschool,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
yes,attended,Mongolia_MICS4_Datasets,,,1,,NAN,NAN,NAN,NAN
no,ynm,Mongolia_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
"university, institute, college",school,Mongolia_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
yes,ynm,Mongolia_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
vocational training center,school,Mongolia_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
dk,school,Mongolia_MICS5_Datasets,,,,NAN,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
general education school,school,Mongolia_MICS5_Datasets,,,,primary,NAN,NAN,NAN,NAN
rural,urban.rural,Mongolia_MICS5_Datasets,0,,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,attended,Mongolia_MICS5_Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Mongolia_MICS5_Datasets,,,,NAN,NAN,NAN,NAN,NAN
construction bricks,wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
stone with lime/ cement,wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
stone with mud,wall,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
cement blocks,wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
cement,wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
"wod planks, shingles, logs",wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
decorative bricks,wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
other,wall,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
uncovered adobe,wall,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
covered adobe,wall,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
reused wood,wall,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
plywood,wall,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
"concrete, vinyl/ asphalt strips",floor,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
parquet or polished wood,floor,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
wood planks,floor,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
other,floor,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,floor,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
cement,floor,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
ceramic tiles,floor,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
"tube well, borehole",water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,0
protected well,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,0
public water kiosk connected with central system,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,0
unprotected well,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
"surface water (river, stream, dam, lake, pond, canal, irrigation channel)",water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
piped into dwelling from central system,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,0,0
protected spring,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,0
unprotected spring,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
rainwater collection,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
tanker-truck: water truck,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
tanker-truck: public water kiosk,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
cart with small tank / drum,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,1,1
piped into dwelling from individual system,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,0,0
bottled water,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,0,0
pit latrine: pit latrine with slab,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
pit latrine: ventilated improved pit latrine (vip),toilets,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
pit latrine: pit latrine without slab / open pit,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
flush/pour flush: flush to piped sewer system,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
"no facility, bush, field",toilets,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
flush/pour flush: flush to septic tank,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
other,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
flush/pour flush: flush to pit (latrine),toilets,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
composting toilet,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
flush/pour flush: flush to somewhere else,toilets,Mongolia_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
no,attended,Mongolia_MICS5_Datasets,,,0,,NAN,NAN,NAN,NAN
preschool,school,Mongolia_MICS5_Datasets,,,,preschool,NAN,NAN,NAN,NAN
other,water,Mongolia_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Mongolia_MICS5_Datasets,,NAN,,,NAN,NAN,NAN,NAN
urban,urban.rural,Mongolia_MICS5_Datasets,1,,,,NAN,NAN,NAN,NAN
yes,attended,Mongolia_MICS5_Datasets,,,1,,NAN,NAN,NAN,NAN
no,ynm,Mongolia_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
university/ college,school,Mongolia_MICS5_Datasets,,,,higher,NAN,NAN,NAN,NAN
yes,ynm,Mongolia_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
vocational training,school,Mongolia_MICS5_Datasets,,,,higher,NAN,NAN,NAN,NAN
1,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,1,,,NAN,NAN,NAN,NAN
missing,attended,Montenegro (Roma Settlements)_MICS5_Datasets,,,NAN,,NAN,NAN,NAN,NAN
higher,school,Montenegro (Roma Settlements)_MICS5_Datasets,,,,higher,NAN,NAN,NAN,NAN
rural,urban.rural,Montenegro (Roma Settlements)_MICS5_Datasets,0,,,,NAN,NAN,NAN,NAN
2,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Montenegro (Roma Settlements)_MICS5_Datasets,,0,,,NAN,NAN,NAN,NAN
missing,school,Montenegro (Roma Settlements)_MICS5_Datasets,,,,NAN,NAN,NAN,NAN,NAN
NAN,water,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,attended,Montenegro (Roma Settlements)_MICS5_Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Montenegro (Roma Settlements)_MICS5_Datasets,,,,NAN,NAN,NAN,NAN,NAN
cement blocks,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
NAN,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
bricks,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
cement,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
plywood,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
wood planks / shingles,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,0,NAN,NAN
other,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,NAN,NAN,NAN
reused wood,wall,Montenegro (Roma Settlements)_MICS5_Datasets,,,,,FALSE,1,NAN,NAN
