value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
wood planks,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
vinyl or asphalt strips,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
other,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
carpet,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
parquet or polished wood,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
earth/sand,floor,Albania MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
piped into dwelling,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,0,0
bottled water,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,0,0
piped into yard or plot,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,0,0
tubewell/borehole,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
protected well,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
public tap/standpipe,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
unprotected spring,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
unprotected well,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
tanker-truck,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,1
protected spring,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,1,0
flush to piped sewer system,toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
pit latrine with slab,toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
flush to septic tank,toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
ventilated improved pit latrine (vip),toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
flush to pit (latrine),toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,0,NAN,NAN
other,toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
pit latrine without slab/open pit,toilets,Albania MICS 2005 SPSS Datasets,,,,,FALSE,1,NAN,NAN
rural,urban.rural,Albania MICS 2005 SPSS Datasets,0,,,,NAN,NAN,NAN,NAN
higher,school,Albania MICS 2005 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
NAN,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
2,ynm,Albania MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Albania MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Albania MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Albania MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,attended,Albania MICS 2005 SPSS Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Albania MICS 2005 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
no,attended,Albania MICS 2005 SPSS Datasets,,,0,,NAN,NAN,NAN,NAN
other,water,Albania MICS 2005 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
urban,urban.rural,Albania MICS 2005 SPSS Datasets,1,,,,NAN,NAN,NAN,NAN
NAN,ynm,Albania MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
