Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"4,385,875",2014/15 Approved Budget,Vote: 591,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"855,303",2014/15 Approved Budget,Vote: 591,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"560,244",2014/15 Approved Budget,Vote: 591,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2014/15 Approved Budget,Vote: 591,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gomba District,District Government,"300,000",2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gomba District,District Government,"50,000",2015/16 Proposed Budget,Vote: 591,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gomba District,District Government,"19,233",2015/16 Proposed Budget,Vote: 591,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gomba District,District Government,"200,000",2015/16 Proposed Budget,Vote: 591,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Gomba District,District Government,"750,746",2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Tertiary Education Services
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Skills Development,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Tertiary Education Services
Function: Special Needs Education,Donor Dev't,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"35,655",2015/16 Proposed Budget,Vote: 591,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"23,938",2015/16 Proposed Budget,Vote: 591,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"4,000",2015/16 Proposed Budget,Vote: 591,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Gomba District,District Government,"396,936",2015/16 Proposed Budget,Vote: 591,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Gomba District,District Government,"528,608",2015/16 Proposed Budget,Vote: 591,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"738,486",2015/16 Proposed Budget,Vote: 591,Output: Tertiary Education Services
Function: Special Needs Education,Non Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"4,000",2015/16 Proposed Budget,Vote: 591,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"33,368",2015/16 Proposed Budget,Vote: 591,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"4,385,875",2015/16 Proposed Budget,Vote: 591,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"855,303",2015/16 Proposed Budget,Vote: 591,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Classroom construction and rehabilitation
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,"560,244",2015/16 Proposed Budget,Vote: 591,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Gomba District,District Government,0,2015/16 Proposed Budget,Vote: 591,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,"16,000",2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Gulu District,District Government,"68,583",2014/15 Approved Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"87,000",2014/15 Approved Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"9,000",2014/15 Approved Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"117,028",2014/15 Approved Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"85,000",2014/15 Approved Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"45,000",2014/15 Approved Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"15,000",2014/15 Approved Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"240,000",2014/15 Approved Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"28,000",2014/15 Approved Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"33,496",2014/15 Approved Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"213,782",2014/15 Approved Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gulu District,District Government,"159,650",2014/15 Approved Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"136,000",2014/15 Approved Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"275,510",2014/15 Approved Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"1,290,912",2014/15 Approved Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"12,240",2014/15 Approved Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"1,200,000",2014/15 Approved Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"61,007",2014/15 Approved Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"40,576",2014/15 Approved Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"93,600",2014/15 Approved Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,"1,825,199",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Gulu District,District Government,"33,150",2014/15 Approved Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,,District Government,"693,843",2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"635,599",2014/15 Approved Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Gulu District,District Government,"738,141",2014/15 Approved Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"1,069,635",2014/15 Approved Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"104,860",2014/15 Approved Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"7,600,707",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"1,996,592",2014/15 Approved Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2014/15 Approved Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"1,180,299",2014/15 Approved Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,"20,000",2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Gulu District,District Government,"71,840",2015/16 Proposed Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"153,400",2015/16 Proposed Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"45,800",2015/16 Proposed Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"190,200",2015/16 Proposed Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"188,800",2015/16 Proposed Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
