Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Expenditure,Development Expenditure,Fort-Portal Municipal Council,District Government,0,Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 753,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"251,397",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"257,024",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"1,127,193",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"1,456,471",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"172,399",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"679,283",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"437,500",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"413,889",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"111,193",Workplan 2: Finance,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"126,193",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"591,638",Workplan 2: Finance,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"645,708",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"12,063",Workplan 2: Finance,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"1,448",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"59,463",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"61,148",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"376,739",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"557,754",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"13,482",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"26,417",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"70,728",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"79,926",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"22,169",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"28,000",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"508,568",Workplan 5: Health,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"530,166",Workplan 5: Health,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"339,445",Workplan 5: Health,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"361,212",Workplan 5: Health,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"200,786",Workplan 5: Health,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"238,180",Workplan 5: Health,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 5: Health,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"155,512",Workplan 5: Health,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"5,132,295",Workplan 6: Education,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"6,092,515",Workplan 6: Education,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"1,246,260",Workplan 6: Education,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"1,650,033",Workplan 6: Education,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"322,178",Workplan 6: Education,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"442,084",Workplan 6: Education,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 6: Education,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 6: Education,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"42,541",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"61,772",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"1,345,019",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"1,873,220",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"75,853",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"10,032,999",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"9,300,000",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"8,162,755",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"34,949",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"40,774",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"66,557",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"81,359",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"10,500",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"6,000",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"45,702",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"45,702",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"147,666",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"366,283",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"112,083",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"118,781",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"35,177",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"10,689",Workplan 10: Planning,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"23,945",Workplan 10: Planning,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"42,268",Workplan 10: Planning,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"85,098",Workplan 10: Planning,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"30,589",Workplan 10: Planning,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,"31,575",Workplan 10: Planning,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 10: Planning,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 10: Planning,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"33,439",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"38,631",Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 754,Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"44,912",Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 754,Non Wage
Revenue,Recurrent Expenditure,Gulu Municipal Council,District Government,"59,140",Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 754,Non Wage
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 754,Domestic Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 11: Internal Audit,2013/14 Approved Budget,Vote: 754,Donor Development
Revenue,Development Expenditure,Gulu Municipal Council,District Government,0,Workplan 11: Internal Audit,2014/15 Proposed Budget,Vote: 754,Donor Development
Revenue,Recurrent Revenues,Kabale District,District Government,"654,563",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"959,656",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"32,826",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Kabale District,District Government,"32,826",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Kabale District,District Government,"93,539",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"93,539",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"116,956",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"133,783",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Other Transfers from Central Government
Revenue,Recurrent Revenues,Kabale District,District Government,,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Other Transfers from Central Government
Revenue,Recurrent Revenues,Kabale District,District Government,"564,047",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"562,654",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"30,000",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Conditional Grant to IFMS Running Costs
Revenue,Recurrent Revenues,Kabale District,District Government,"30,000",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Conditional Grant to IFMS Running Costs
Revenue,Development Revenues,Kabale District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Unspent balances - Conditional Grants
Revenue,Development Revenues,Kabale District,District Government,120,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Unspent balances - Conditional Grants
Revenue,Development Revenues,Kabale District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Kabale District,District Government,,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Kabale District,District Government,"112,425",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,LGMSD (Former LGDP)
Revenue,Development Revenues,Kabale District,District Government,"121,763",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,LGMSD (Former LGDP)
Revenue,Development Revenues,Kabale District,District Government,"8,708",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Locally Raised Revenues
Revenue,Development Revenues,Kabale District,District Government,"8,204",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Locally Raised Revenues
Revenue,Development Revenues,Kabale District,District Government,"209,575",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Kabale District,District Government,"209,489",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Kabale District,District Government,"848,097",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"1,153,190",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"643,834",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Non Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"659,267",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Non Wage
Expenditure,Development Expenditure,Kabale District,District Government,"330,708",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Domestic Development
Expenditure,Development Expenditure,Kabale District,District Government,"339,576",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Domestic Development
Expenditure,Development Expenditure,Kabale District,District Government,0,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 512,Donor Development
Expenditure,Development Expenditure,Kabale District,District Government,0,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 512,Donor Development
Revenue,Recurrent Revenues,Kabale District,District Government,"125,261",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"225,261",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"78,187",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"78,187",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"96,277",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"61,747",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Unspent balances - Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,441,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Unspent balances - Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"326,452",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"326,615",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Kabale District,District Government,"21,564",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Kabale District,District Government,"21,564",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Kabale District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Donor Funding
Revenue,Development Revenues,Kabale District,District Government,,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Donor Funding
Expenditure,Recurrent Expenditure,Kabale District,District Government,"169,290",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"225,261",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"456,887",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Non Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"466,990",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Non Wage
Expenditure,Development Expenditure,Kabale District,District Government,"21,564",Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Domestic Development
Expenditure,Development Expenditure,Kabale District,District Government,"21,564",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Domestic Development
Expenditure,Development Expenditure,Kabale District,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 512,Donor Development
Expenditure,Development Expenditure,Kabale District,District Government,0,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 512,Donor Development
Revenue,Recurrent Revenues,Kabale District,District Government,"218,520",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Kabale District,District Government,"205,306",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Kabale District,District Government,"103,985",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Kabale District,District Government,"103,985",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Kabale District,District Government,"126,360",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Kabale District,District Government,"189,821",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Kabale District,District Government,"201,014",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"60,143",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"349,873",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"350,373",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"23,400",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Kabale District,District Government,"24,523",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Kabale District,District Government,"24,751",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"70,751",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"4,864",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Unspent balances - Other Government Transfers
Revenue,Recurrent Revenues,Kabale District,District Government,,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Unspent balances - Other Government Transfers
Revenue,Recurrent Revenues,Kabale District,District Government,"13,547",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Unspent balances - UnConditional Grants
Revenue,Recurrent Revenues,Kabale District,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Unspent balances - UnConditional Grants
Revenue,Recurrent Revenues,Kabale District,District Government,"70,725",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"248,611",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"28,120",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Kabale District,District Government,"28,120",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Development Revenues,Kabale District,District Government,"268,886",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Kabale District,District Government,"158,345",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Development Revenues,Kabale District,District Government,"300,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Locally Raised Revenues
Revenue,Development Revenues,Kabale District,District Government,"66,756",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Locally Raised Revenues
Revenue,Development Revenues,Kabale District,District Government,"1,832",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Kabale District,District Government,"1,832",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Kabale District,District Government,"190,396",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"300,980",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"974,764",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Non Wage
Expenditure,Recurrent Expenditure,Kabale District,District Government,"980,653",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Non Wage
Expenditure,Development Expenditure,Kabale District,District Government,"570,718",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Domestic Development
Expenditure,Development Expenditure,Kabale District,District Government,"226,933",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Domestic Development
Expenditure,Development Expenditure,Kabale District,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 512,Donor Development
Expenditure,Development Expenditure,Kabale District,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 512,Donor Development
Revenue,Recurrent Revenues,Kabale District,District Government,"7,601",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"7,601",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 512,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Kabale District,District Government,"58,695",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 512,Conditional transfers to Production and Marketing
Revenue,Recurrent Revenues,Kabale District,District Government,"52,432",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 512,Conditional transfers to Production and Marketing
Revenue,Recurrent Revenues,Kabale District,District Government,"24,483",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"24,483",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 512,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Kabale District,District Government,"30,147",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"33,547",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 512,Locally Raised Revenues
Revenue,Recurrent Revenues,Kabale District,District Government,"454,785",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 512,NAADS (Districts) - Wage
