Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Development Revenues,Bukwo District,District Government,"33,204",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"299,951",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"245,461",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"43,522",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"41,650",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,"875,093",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,"211,135",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,"7,520",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Conditional Grant to NGO Hospitals
Revenue,Recurrent Revenues,Bukwo District,District Government,"7,520",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Conditional Grant to NGO Hospitals
Revenue,Recurrent Revenues,Bukwo District,District Government,"77,613",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Conditional Grant to PHC- Non wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"77,613",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PHC- Non wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,496,287",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Conditional Grant to PHC Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,745,511",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PHC Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"119,687",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"115,936",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,000",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
