country.id,flow,value
MS,remittances,0
MU,remittances,230649054.8
MV,remittances,3145630.765
MW,remittances,26562493
MX,remittances,21747157496
MY,remittances,1357639814
MZ,remittances,197836901.3
NA,remittances,16058874.51
NE,remittances,128656036.8
NG,remittances,22108651352
NI,remittances,996507093
NP,remittances,5214465692
NR,remittances,0
NU,remittances,0
PA,remittances,447890298.5
PE,remittances,2612229182
PG,remittances,15646303.48
PH,remittances,26116703604
PK,remittances,0
PS,remittances,2479888009
PW,remittances,0
PY,remittances,555674059.9
RS,remittances,3004196234
RW,remittances,188785190.5
SB,remittances,15042923.96
SC,remittances,12385364.38
SD,remittances,419810910.2
SH,remittances,0
SL,remittances,0
SN,remittances,0
SO,remittances,0
SR,remittances,6838448.287
SS,remittances,0
ST,remittances,0
SV,remittances,3911867958
SY,remittances,1471995417
SZ,remittances,30789742.51
TD,remittances,0
TG,remittances,337009537.3
TH,remittances,5065632416
TJ,remittances,0
TK,remittances,0
TL,remittances,123286953.3
TM,remittances,0
TN,remittances,2351255533
TO,remittances,66750112.77
TR,remittances,876056139.8
TV,remittances,0
TZ,remittances,67886597.08
UA,remittances,9688969637
UG,remittances,924638742.1
UY,remittances,114584204.2
UZ,remittances,0
VC,remittances,31945776.64
VE,remittances,124821140.4
VN,remittances,11044355591
VU,remittances,21850147.9
WF,remittances,0
WS,remittances,160420877.9
XK,remittances,1261544112
YE,remittances,3607784683
ZA,remittances,1080278546
ZM,remittances,61770569.67
ZW,remittances,0
