This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for AAPL on 9/17/14 16:11:16

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
101.61,Q,+.75,101.61,Q,101.62,Q,15 x 31,"56,646,602",101.27,101.80,100.5922

UNDERLYING EXTRA INFO
Yield,PE,EPS,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
1.85%,16.34,6.22,.47,Q,8/7/14,103.74,63.9286,"5,987,867,000",.9006

SEP 14  (2)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,.01,A,-.01,0,B,.01,C,SEP4 14,115,13.30,C,13.45,C,14.20,A,+1.30,,
,,.05,Q,0,0,W,.01,A,SEP4 14,116,14.30,C,14.45,A,14.45,Q,0,,
,,.02,A,0,0,Z,.02,H,SEP4 14,117,15.30,C,15.45,A,, ,,,
,,.04,A,0,0,W,.02,H,SEP4 14,118,16.30,C,16.45,A,, ,,,
,,.02,M,0,0,W,.02,H,SEP4 14,119,17.30,C,17.45,A,, ,,,
,,.02,M,0,0,W,.01,Z,SEP4 14,120,18.30,C,18.45,A,, ,,,

SEP4 14  (9)  10 (Mini)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,14.25,A,0,15.50,A,15.80,A,SEP4 14,86,0,B,.07,N,.05,A,0,,
,,, ,,14.50,A,14.75,A,SEP4 14,87,0,B,.07,Z,, ,,,
,,, ,,13.50,A,13.80,A,SEP4 14,88,0,B,.08,Z,, ,,,
,,8.66,N,0,12.50,A,12.80,A,SEP4 14,89,0,B,.08,Z,, ,,,
,,, ,,11.55,A,11.80,A,SEP4 14,90,0,B,.09,N,.20,N,0,,
,,11.60,A,0,10.55,A,10.80,A,SEP4 14,91,0,B,.10,N,1.36,A,0,,
,,10.50,N,0,9.55,A,9.80,A,SEP4 14,92,.02,Z,.11,N,, ,,,
,,7.30,N,0,8.55,A,8.85,A,SEP4 14,93,.04,Z,.12,Z,.35,N,0,,
,,, ,,7.60,A,7.85,A,SEP4 14,94,.07,Z,.15,N,1.28,B,0,,
,,5.05,A,0,6.60,A,6.90,A,SEP4 14,95,.11,N,.18,Z,1.50,A,0,,
,,5.50,A,0,5.70,A,5.95,A,SEP4 14,96,.16,Z,.23,A,.58,N,0,,
,,5.60,N,0,4.80,Z,5.00,Z,SEP4 14,97,.26,N,.33,A,.60,B,0,,
,,4.00,N,0,3.90,A,4.15,N,SEP4 14,98,.40,N,.47,A,.42,Z,-.58,,
,,2.48,N,0,3.15,A,3.35,A,SEP4 14,99,.58,Z,.67,A,1.45,N,0,,
,,2.29,A,+.22,2.44,A,2.58,A,SEP4 14,100,.84,A,.95,A,1.30,B,-.04,,
,,1.77,A,+.25,1.83,A,1.94,B,SEP4 14,101,1.21,A,1.33,A,1.23,N,-.42,,
,,1.22,A,-.02,1.32,A,1.42,B,SEP4 14,102,1.70,A,1.82,A,2.19,Z,0,,
,,1.01,B,+.08,.91,Z,.99,B,SEP4 14,103,2.27,A,2.42,A,3.29,Z,0,,
,,.58,A,+.12,.59,Z,.68,N,SEP4 14,104,2.92,A,3.10,A,7.10,Z,0,,
,,.40,N,-.01,.36,N,.44,N,SEP4 14,105,3.70,Z,3.90,B,5.20,A,0,,
,,.63,A,0,.21,N,.28,Z,SEP4 14,106,4.55,N,4.75,Z,, ,,,
,,.12,A,-.23,.12,Z,.20,Z,SEP4 14,107,5.40,A,5.65,A,, ,,,
,,.15,N,0,.06,Z,.15,Z,SEP4 14,108,6.35,A,6.60,A,, ,,,
,,.24,A,0,.03,Z,.10,Z,SEP4 14,109,7.30,A,7.55,A,, ,,,
,,.17,N,0,.01,Z,.10,N,SEP4 14,110,8.30,A,8.55,A,9.00,A,0,,
,,, ,,0,Z,.09,N,SEP4 14,111,9.25,A,9.55,A,, ,,,
,,, ,,0,Z,.08,N,SEP4 14,112,10.30,A,10.55,A,, ,,,
,,, ,,0,Z,.07,N,SEP4 14,113,11.25,A,11.50,A,, ,,,

OCT1 14  (16)  100 (Weeklys)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,18.10,C,0,18.75,I,20.30,I,OCT1 14,82,.01,H,.04,X,.14,X,0,,
,,18.20,C,,18.60,X,18.75,X,OCT1 14,83,.03,Q,.04,H,.04,A,0,,
,,14.10,A,0,17.60,X,17.80,X,OCT1 14,84,.03,Q,.04,Q,.05,I,0,,
,,, ,,16.60,X,16.80,X,OCT1 14,85,.03,H,.04,Q,.06,M,0,,
,,16.00,Z,0,15.60,X,15.80,X,OCT1 14,86,.04,Q,.05,Q,.05,C,0,,
,,12.25,X,0,14.60,X,14.80,X,OCT1 14,87,.05,Q,.06,Q,.08,Z,0,,
,,12.70,M,0,13.60,X,13.80,X,OCT1 14,88,.05,Q,.06,Q,.11,C,0,,
,,10.15,A,0,12.60,X,12.80,X,OCT1 14,89,.06,Q,.07,Q,.06,B,-.05,,
,,12.06,C,0,11.65,C,11.80,X,OCT1 14,90,.07,Q,.08,Q,.07,C,-.05,,
,,10.27,A,0,10.65,X,10.80,X,OCT1 14,91,.09,Q,.10,H,.08,C,-.12,,
,,10.15,I,0,9.65,X,9.85,X,OCT1 14,92,.11,Q,.12,Q,.13,H,-.10,,
,,6.95,N,0,8.70,X,8.90,X,OCT1 14,93,.14,Q,.15,Q,.16,C,-.18,,
,,7.05,I,+.10,7.75,C,7.90,C,OCT1 14,94,.18,Q,.20,A,.18,C,-.10,,
,,6.90,H,+1.20,6.80,C,6.95,C,OCT1 14,95,.25,Q,.26,C,.27,C,-.20,,
,,5.90,A,+.41,5.90,C,6.05,A,OCT1 14,96,.34,Q,.36,A,.35,H,-.16,,
,,5.26,C,+.48,5.05,A,5.20,C,OCT1 14,97,.48,Q,.49,H,.50,I,-.22,,
,,4.30,N,+.28,4.25,A,4.40,C,OCT1 14,98,.66,C,.68,H,.71,H,-.20,,
,,3.55,M,+.35,3.50,C,3.60,Z,OCT1 14,99,.91,C,.93,Q,.91,H,-.33,,
,,2.90,Q,+.19,2.86,I,2.92,C,OCT1 14,100,1.23,C,1.25,Q,1.23,C,-.47,,
,,2.28,C,+.12,2.26,A,2.29,I,OCT1 14,101,1.63,A,1.66,I,1.66,Q,-.45,,
,,1.78,Q,+.04,1.75,N,1.78,C,OCT1 14,102,2.11,A,2.14,Q,2.21,C,-.44,,
,,1.29,I,+.07,1.32,N,1.34,Q,OCT1 14,103,2.67,C,2.71,C,2.87,C,-.88,,
,,.97,A,0,.97,N,.99,Q,OCT1 14,104,3.30,C,3.45,C,3.50,A,-.60,,
,,.71,C,+.03,.70,N,.72,C,OCT1 14,105,4.00,A,4.10,A,3.96,X,-1.84,,
,,.54,A,0,.50,H,.51,H,OCT1 14,106,4.80,A,4.95,A,6.93,C,0,,
,,.35,N,0,.35,H,.36,Q,OCT1 14,107,5.65,C,5.80,A,8.60,A,0,,
,,.25,H,-.04,.25,Q,.26,Q,OCT1 14,108,6.55,A,6.70,A,8.15,I,0,,
,,.18,Z,0,.18,Q,.19,H,OCT1 14,109,7.45,X,7.60,I,7.69,C,-2.81,,
,,.14,C,-.01,.13,Z,.14,Q,OCT1 14,110,8.40,A,8.55,A,9.20,M,-.90,,
,,.11,T,-.01,.09,H,.10,Q,OCT1 14,111,9.35,A,9.55,A,10.30,A,,,
,,.09,C,+.01,.07,Q,.08,Q,OCT1 14,112,10.35,X,10.50,I,10.75,X,,,
,,.22,N,0,.05,H,.06,Q,OCT1 14,113,11.35,X,11.50,C,11.25,Z,0,,
,,.10,C,0,.04,H,.05,Q,OCT1 14,114,12.30,X,12.50,C,, ,,,
,,.04,M,-.01,.03,H,.05,A,OCT1 14,115,13.30,X,13.55,C,15.40,C,0,,
,,, ,,0,W,.02,X,OCT1 14,120,17.55,C,18.65,C,, ,,,

OCT1 14  (16)  10 (Mini)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,14.00,N,0,15.45,A,15.80,A,OCT1 14,86,0,B,.30,A,, ,,,
,,, ,,14.45,A,14.80,A,OCT1 14,87,0,B,.11,Z,, ,,,
,,, ,,13.45,A,13.80,A,OCT1 14,88,0,B,.31,A,.57,A,0,,
,,, ,,12.45,A,12.80,A,OCT1 14,89,0,B,.15,Z,, ,,,
,,, ,,11.50,A,11.85,A,OCT1 14,90,0,B,.15,Z,.13,A,0,,
,,, ,,10.50,A,10.90,A,OCT1 14,91,0,B,.31,A,, ,,,
,,, ,,9.50,A,10.00,A,OCT1 14,92,.05,Z,.38,A,, ,,,
,,7.09,N,0,8.55,A,8.90,A,OCT1 14,93,.10,Z,.26,Z,, ,,,
,,, ,,7.60,A,7.95,A,OCT1 14,94,.04,A,.31,A,1.12,A,0,,
,,5.59,N,0,6.65,A,7.05,A,OCT1 14,95,.18,Z,.41,A,, ,,,
,,6.40,Z,0,5.75,A,6.10,A,OCT1 14,96,.22,A,.57,A,2.00,N,0,,
,,, ,,4.90,A,5.25,Z,OCT1 14,97,.40,A,.71,A,2.50,A,0,,
,,5.00,N,0,4.10,A,4.40,Z,OCT1 14,98,.62,B,.88,A,.85,Z,0,,
,,4.00,A,0,3.35,A,3.70,A,OCT1 14,99,.86,Z,1.13,A,2.50,N,0,,
,,3.20,N,0,2.67,A,2.96,Z,OCT1 14,100,1.16,A,1.43,A,1.65,N,0,,
,,2.60,A,0,2.07,A,2.36,A,OCT1 14,101,1.58,Z,1.84,A,1.69,B,0,,
,,1.94,A,-.67,1.59,A,1.85,A,OCT1 14,102,2.07,A,2.37,A,3.65,A,0,,
,,1.10,A,-.76,1.18,A,1.45,A,OCT1 14,103,2.59,A,2.95,A,3.00,A,+.14,,
,,1.30,A,0,.79,A,1.10,A,OCT1 14,104,3.25,A,3.60,A,, ,,,
,,1.24,A,0,.51,A,.82,A,OCT1 14,105,4.00,Z,4.30,A,, ,,,
,,, ,,.31,A,.64,A,OCT1 14,106,4.75,Z,5.10,A,, ,,,
,,1.55,N,0,.15,A,.49,A,OCT1 14,107,5.60,Z,5.95,A,, ,,,
,,.90,N,0,.04,A,.37,A,OCT1 14,108,6.50,A,6.85,A,, ,,,
,,, ,,.05,A,.41,A,OCT1 14,109,7.40,A,7.80,A,, ,,,
,,.29,B,0,.07,A,.23,A,OCT1 14,110,8.35,A,8.70,A,, ,,,
,,, ,,0,B,.20,Z,OCT1 14,111,9.30,A,9.70,A,, ,,,
,,, ,,0,Z,.17,Z,OCT1 14,112,10.30,A,10.65,A,, ,,,
,,, ,,0,Z,.14,Z,OCT1 14,113,11.30,A,11.65,A,, ,,,
,,, ,,0,Z,.28,A,OCT1 14,114,12.20,A,12.65,A,, ,,,
,,, ,,0,Z,.27,A,OCT1 14,115,13.30,A,13.65,A,, ,,,

OCT2 14  (23)  100 (Weeklys)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,17.15,N,0,16.60,X,16.80,X,OCT2 14,85,.04,X,.07,C,.07,Q,-.02,,
,,13.10,H,0,14.65,X,14.80,X,OCT2 14,87,.06,C,.09,C,.08,A,-.04,,
,,12.00,N,0,13.65,X,13.85,C,OCT2 14,88,.07,C,.11,C,.12,C,0,,
,,11.20,Q,0,12.65,C,12.85,C,OCT2 14,89,.09,C,.12,X,.18,C,0,,
,,12.19,C,0,11.70,X,11.85,C,OCT2 14,90,.10,C,.14,C,.14,Q,-.02,,
,,10.16,W,-1.03,10.70,C,10.90,C,OCT2 14,91,.13,C,.17,C,.17,C,-.12,,
,,9.90,H,-.21,9.70,X,9.90,X,OCT2 14,92,.17,C,.21,C,.22,B,-.05,,
,,8.50,A,0,8.80,X,9.00,X,OCT2 14,93,.22,C,.27,C,.28,C,-.08,,
,,7.20,A,-.45,7.90,C,8.05,C,OCT2 14,94,.29,C,.34,C,.29,C,-.26,,
,,7.00,Q,+.85,7.00,C,7.15,A,OCT2 14,95,.38,C,.41,C,.39,Q,-.21,,
,,5.54,W,+.27,6.10,A,6.25,C,OCT2 14,96,.51,C,.54,Q,.57,I,-.19,,
,,5.05,Z,+.45,5.25,C,5.45,C,OCT2 14,97,.68,C,.72,C,.73,C,-.28,,
,,4.50,Q,+.19,4.50,C,4.65,C,OCT2 14,98,.91,C,.94,I,.91,A,-.35,,
,,3.95,Q,+.35,3.80,C,3.95,C,OCT2 14,99,1.18,C,1.24,C,1.25,H,-.42,,
,,3.15,N,+.22,3.15,C,3.25,C,OCT2 14,100,1.54,C,1.59,C,1.59,C,-.30,,
,,2.67,A,+.18,2.60,C,2.63,A,OCT2 14,101,1.94,C,2.00,C,2.07,Z,-.36,,
,,2.07,C,+.07,2.08,C,2.12,C,OCT2 14,102,2.43,C,2.49,C,2.36,C,-1.15,,
,,1.64,C,+.01,1.64,C,1.68,C,OCT2 14,103,2.97,C,3.05,C,3.15,Z,-.79,,
,,1.25,Q,-.01,1.27,C,1.30,Q,OCT2 14,104,3.55,C,3.70,C,3.85,N,-.76,,
,,.98,C,-.01,.97,C,.99,Q,OCT2 14,105,4.25,C,4.45,C,4.85,M,-.05,,
,,.74,I,-.06,.73,C,.76,C,OCT2 14,106,5.00,C,5.15,C,6.87,C,0,,
,,.51,X,-.06,.54,C,.58,C,OCT2 14,107,5.80,C,6.00,C,5.50,Q,0,,
,,.40,C,-.01,.40,C,.43,C,OCT2 14,108,6.70,C,6.85,C,8.75,A,0,,
,,.31,Z,+.05,.30,C,.32,C,OCT2 14,109,7.55,A,7.75,X,9.20,A,0,,
,,.25,I,+.02,.22,C,.24,C,OCT2 14,110,8.50,X,8.65,X,10.00,N,0,,
,,.16,C,-.01,.16,C,.19,C,OCT2 14,111,9.45,X,9.65,X,, ,,,
,,.15,B,-.12,.12,C,.14,C,OCT2 14,112,10.40,X,10.55,X,, ,,,
,,.22,I,0,.09,C,.12,X,OCT2 14,113,11.35,C,11.55,X,, ,,,
,,.09,A,-.09,.07,X,.10,C,OCT2 14,114,12.35,C,12.55,C,13.15,C,,,
,,.13,C,0,.06,X,.08,X,OCT2 14,115,13.35,C,13.50,C,, ,,,
,,.11,C,0,.05,X,.07,C,OCT2 14,116,14.35,X,14.50,X,, ,,,
,,.09,A,0,.04,X,.06,C,OCT2 14,117,15.30,X,15.50,X,, ,,,

OCT2 14  (23)  10 (Mini)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,, ,,15.50,A,15.85,A,OCT2 14,86,0,B,.31,A,, ,,,
,,, ,,14.50,A,14.85,A,OCT2 14,87,0,B,.19,A,, ,,,
,,, ,,13.50,A,13.85,A,OCT2 14,88,0,B,.20,Z,, ,,,
,,, ,,12.50,A,12.85,A,OCT2 14,89,.05,A,.22,A,, ,,,
,,, ,,11.55,A,11.90,A,OCT2 14,90,.03,A,.38,A,1.33,A,0,,
,,, ,,10.55,A,10.90,A,OCT2 14,91,.06,A,.28,A,, ,,,
,,, ,,9.60,A,9.95,A,OCT2 14,92,.11,Z,.33,A,, ,,,
,,, ,,8.65,A,9.10,A,OCT2 14,93,.17,A,.40,A,1.95,A,0,,
,,8.00,N,0,7.75,A,8.10,A,OCT2 14,94,.13,A,.49,A,, ,,,
,,5.50,A,0,6.85,A,7.15,A,OCT2 14,95,.35,N,.60,A,.73,A,0,,
,,, ,,5.95,A,6.30,A,OCT2 14,96,.43,A,.75,A,, ,,,
,,, ,,5.10,A,5.45,A,OCT2 14,97,.64,A,.90,A,, ,,,
,,4.50,A,0,4.35,A,4.70,A,OCT2 14,98,.85,A,1.11,A,1.50,N,0,,
,,3.15,N,0,3.60,A,3.95,A,OCT2 14,99,1.12,A,1.39,A,3.02,B,0,,
,,3.65,A,0,2.97,A,3.30,A,OCT2 14,100,1.46,A,1.72,A,2.64,A,0,,
,,2.55,N,0,2.41,A,2.69,A,OCT2 14,101,1.90,A,2.17,A,2.35,N,+.18,,
,,1.95,A,-.45,1.91,A,2.19,A,OCT2 14,102,2.41,Z,2.69,A,3.75,N,0,,
,,, ,,1.50,A,1.78,A,OCT2 14,103,2.96,Z,3.25,A,6.60,Z,0,,
,,4.15,A,0,1.12,A,1.40,A,OCT2 14,104,3.55,A,3.90,A,3.25,B,0,,
,,.91,A,0,.80,A,1.08,A,OCT2 14,105,4.25,A,4.60,A,, ,,,
,,.65,A,0,.55,A,.88,A,OCT2 14,106,5.00,A,5.35,A,, ,,,
,,, ,,.36,A,.71,A,OCT2 14,107,5.80,A,6.15,A,, ,,,
,,1.47,A,0,.20,A,.57,A,OCT2 14,108,6.65,A,7.00,A,, ,,,
,,, ,,.08,A,.46,A,OCT2 14,109,7.55,A,7.90,A,, ,,,
,,.92,A,0,.01,A,.38,A,OCT2 14,110,8.45,A,8.80,A,, ,,,
,,, ,,.08,A,.31,Z,OCT2 14,111,9.40,A,9.75,A,, ,,,
,,, ,,.04,A,.26,A,OCT2 14,112,10.35,A,10.70,A,, ,,,
,,, ,,.01,A,.23,Z,OCT2 14,113,11.35,A,11.70,A,, ,,,
,,, ,,0,Z,.20,A,OCT2 14,114,12.30,A,12.65,A,, ,,,
,,.35,N,0,0,Z,.20,A,OCT2 14,115,13.30,A,13.65,A,, ,,,

OCT 14  (30)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,63.85,C,-.50,64.45,X,64.60,A,OCT 14,37.14,0,W,.01,H,.01,Q,0,,
,,61.55,X,0,63.70,C,63.85,C,OCT 14,37.86,0,W,.01,H,.01,N,0,,
,,63.45,C,0,63.00,C,63.15,C,OCT 14,38.57,0,W,.01,H,.01,C,0,,
,,61.70,C,-.90,62.30,C,62.45,A,OCT 14,39.29,0,W,.01,H,, ,,,
,,59.10,C,0,61.55,C,61.70,C,OCT 14,40,0,W,.01,H,, ,,,
,,57.70,Z,0,60.85,C,61.00,C,OCT 14,40.71,0,W,.01,H,, ,,,
,,60.50,C,0,60.15,C,60.30,A,OCT 14,41.43,0,W,.01,H,, ,,,
,,59.60,C,0,59.45,X,59.60,A,OCT 14,42.14,0,W,.01,H,, ,,,
,,58.07,X,0,58.70,C,58.85,C,OCT 14,42.86,0,W,.01,H,.01,C,0,,
,,57.20,C,-1.25,58.00,C,58.15,A,OCT 14,43.57,0,W,.01,H,, ,,,
,,54.95,C,0,57.30,C,57.45,A,OCT 14,44.29,0,W,.01,H,, ,,,
,,54.75,C,0,56.60,C,56.70,C,OCT 14,45,0,W,.01,H,.02,N,0,,
,,54.50,C,0,55.85,C,56.00,C,OCT 14,45.71,0,W,.01,H,, ,,,
,,54.55,C,-.60,55.15,C,55.30,A,OCT 14,46.43,0,W,.01,H,.01,M,0,,
,,52.10,C,0,54.45,C,54.60,C,OCT 14,47.14,0,W,.01,H,, ,,,
,,52.35,C,0,53.70,C,53.85,C,OCT 14,47.86,0,W,.01,H,.01,C,0,,
,,51.80,C,0,53.00,C,53.15,C,OCT 14,48.57,0,W,.01,H,.02,C,0,,
,,49.55,X,0,52.30,X,52.45,C,OCT 14,49.29,0,W,.01,H,.01,C,0,,
,,52.35,C,0,51.60,X,51.75,A,OCT 14,50,0,W,.01,H,.01,Z,0,,
,,, ,,50.85,C,51.00,C,OCT 14,50.71,0,W,.01,H,.02,A,0,,
,,48.60,A,0,50.15,C,50.30,C,OCT 14,51.43,0,W,.01,H,.01,B,0,,
,,48.80,X,+2.15,49.45,C,49.60,C,OCT 14,52.14,0,W,.01,H,.02,N,0,,
,,45.10,C,0,48.70,C,48.85,C,OCT 14,52.86,0,W,.01,H,.01,B,0,,
,,47.40,H,+1.55,48.00,C,48.15,A,OCT 14,53.57,0,W,.01,H,.01,A,0,,
,,45.70,C,0,47.30,C,47.45,C,OCT 14,54.29,0,W,.01,H,.01,N,0,,
,,47.35,C,0,46.60,C,46.75,A,OCT 14,55,0,W,.01,H,.01,C,0,,
,,45.25,C,,45.85,C,46.00,C,OCT 14,55.71,0,W,.01,H,.01,B,0,,
,,44.55,Q,0,45.15,C,45.30,C,OCT 14,56.43,0,W,.01,H,.03,C,0,,
,,44.80,C,0,44.45,C,44.60,C,OCT 14,57.14,0,W,.01,N,.01,M,0,,
,,, ,,43.70,A,43.85,C,OCT 14,57.86,0,W,.01,N,.01,I,0,,
,,42.00,I,0,43.00,C,43.15,C,OCT 14,58.57,0,W,.01,N,.03,X,0,,
,,42.65,C,0,42.30,C,42.45,C,OCT 14,59.29,0,W,.01,N,.01,C,0,,
,,41.15,X,-.35,41.60,X,41.75,C,OCT 14,60,0,W,.01,N,.01,C,0,,
,,34.29,C,0,40.90,C,41.05,A,OCT 14,60.71,0,W,.01,N,.01,C,0,,
,,38.60,C,0,40.15,C,40.30,C,OCT 14,61.43,0,B,.02,H,.01,M,0,,
,,35.20,Q,0,39.45,C,39.60,C,OCT 14,62.14,0,B,.02,H,.02,C,0,,
,,35.60,X,0,38.75,C,38.90,A,OCT 14,62.86,0,B,.02,H,.02,N,0,,
,,, ,,38.00,C,38.15,C,OCT 14,63.57,0,W,.02,H,.02,H,0,,
,,37.55,I,0,37.30,C,37.45,C,OCT 14,64.29,0,W,.01,N,.02,H,0,,
,,35.40,C,0,36.60,C,36.75,C,OCT 14,65,0,W,.02,H,.02,X,0,,
,,35.00,Q,0,35.90,C,36.05,A,OCT 14,65.71,0,W,.02,H,.02,C,0,,
,,33.40,H,0,35.15,C,35.30,C,OCT 14,66.43,0,W,.02,H,.04,A,0,,
,,32.20,C,0,34.45,C,34.60,C,OCT 14,67.14,0,W,.02,H,.01,Z,0,,
,,35.08,A,0,33.75,X,33.90,C,OCT 14,67.86,0,C,.02,H,.03,C,0,,
,,31.90,N,0,33.00,A,33.20,A,OCT 14,68.57,0,W,.02,H,.01,A,0,,
,,29.55,Q,0,32.30,C,32.45,C,OCT 14,69.29,.01,N,.02,H,.01,N,-.03,,
,,30.30,B,0,31.60,C,31.75,C,OCT 14,70,.01,N,.02,H,.01,N,0,,
,,28.00,C,0,30.90,C,31.05,C,OCT 14,70.71,0,W,.02,H,.02,C,0,,
,,29.40,M,-.37,30.15,C,30.30,C,OCT 14,71.43,0,W,.02,Z,.02,C,0,,
,,28.95,M,+.95,29.45,C,29.60,C,OCT 14,72.14,.01,N,.02,N,.05,I,0,,
,,28.25,C,0,28.75,C,28.90,C,OCT 14,72.86,.01,M,.02,N,.02,X,0,,
,,24.85,Z,0,28.05,A,28.20,A,OCT 14,73.57,.01,Z,.03,H,.04,X,0,,
,,26.00,X,0,27.30,A,27.45,X,OCT 14,74.29,.01,H,.03,H,.03,C,0,,
,,26.70,Q,+.45,26.60,A,26.75,A,OCT 14,75,.02,H,.03,H,.02,C,-.01,,
,,25.75,Q,+.75,25.90,A,26.05,A,OCT 14,75.71,.02,H,.03,H,.02,Z,-.01,,
,,24.82,C,+.89,25.20,X,25.35,A,OCT 14,76.43,.02,H,.03,H,.03,I,0,,
,,23.85,C,+.75,24.45,A,24.60,A,OCT 14,77.14,.02,C,.03,Q,.03,Q,0,,
,,23.00,Q,0,23.75,A,23.90,A,OCT 14,77.86,.02,C,.03,Q,.03,I,-.01,,
,,23.10,Q,+1.84,23.05,A,23.20,A,OCT 14,78.57,.03,N,.04,H,.03,C,-.02,,
,,22.70,C,0,22.35,X,22.50,A,OCT 14,79.29,.03,H,.04,H,.03,N,0,,
,,21.65,Q,+.50,21.60,A,21.75,A,OCT 14,80,.04,X,.05,H,.04,Q,-.01,,
,,21.00,N,0,20.90,A,21.05,X,OCT 14,80.71,.03,H,.04,Q,.04,C,-.04,,
,,20.06,B,+1.13,20.20,A,20.35,A,OCT 14,81.43,.04,H,.05,H,.04,C,-.02,,
,,19.39,C,+1.29,19.50,A,19.65,A,OCT 14,82.14,.04,H,.05,H,.07,A,0,,
,,19.00,Q,+1.63,18.80,I,18.95,A,OCT 14,82.86,.05,H,.06,H,.05,C,-.02,,
,,17.95,X,+.90,18.10,A,18.25,A,OCT 14,83.57,.05,H,.06,H,.09,A,0,,
,,16.15,Z,0,17.35,A,17.50,A,OCT 14,84.29,.05,H,.06,Q,.06,C,-.04,,
,,16.53,C,+.53,16.65,A,16.80,A,OCT 14,85,.06,H,.07,Q,.07,C,-.01,,
,,15.93,C,+.66,15.95,A,16.10,A,OCT 14,85.71,.07,H,.08,Q,.08,A,-.02,,
,,15.20,N,+1.90,15.25,A,15.40,A,OCT 14,86.43,.08,H,.09,H,.08,C,-.06,,
,,14.75,N,+1.50,14.55,A,14.70,A,OCT 14,87.14,.09,H,.10,H,.10,H,-.03,,
,,14.00,M,+1.23,13.85,A,14.00,A,OCT 14,87.86,.10,H,.11,H,.11,Z,-.03,,
,,12.94,C,+.96,13.15,A,13.30,C,OCT 14,88.57,.12,Q,.13,H,.13,M,-.04,,
,,12.45,H,+1.90,12.45,A,12.60,A,OCT 14,89.29,.13,C,.14,Z,.14,C,-.17,,
,,11.80,M,+.50,11.75,A,11.90,A,OCT 14,90,.16,H,.17,H,.17,A,-.06,,
,,10.97,C,+.42,11.05,A,11.20,C,OCT 14,90.71,.18,H,.20,H,.19,Z,-.08,,
,,10.45,Q,+1.15,10.40,C,10.55,A,OCT 14,91.43,.22,H,.23,N,.23,Q,-.17,,
,,9.90,Q,+1.17,9.70,A,9.85,A,OCT 14,92.14,.26,C,.27,Q,.29,X,-.09,,
,,9.00,Q,+.46,9.05,C,9.20,A,OCT 14,92.86,.31,H,.33,H,.34,Z,-.11,,
,,8.27,C,+.67,8.40,C,8.55,C,OCT 14,93.57,.38,H,.39,Q,.41,H,-.12,BUY_ICON,
,,7.90,Q,+.25,7.75,C,7.90,C,OCT 14,94.29,.45,H,.47,H,.50,Z,-.13,,
,,7.17,C,+.27,7.15,A,7.30,C,OCT 14,95,.55,H,.56,N,.57,C,-.20,,
,,6.58,C,+.13,6.55,C,6.70,C,OCT 14,95.71,.66,C,.68,H,.67,C,-.22,,
,,6.05,Q,+.45,5.95,C,6.10,A,OCT 14,96.43,.79,H,.81,H,.81,C,-.25,,
,,5.50,H,+.20,5.40,A,5.55,C,OCT 14,97.14,.95,A,.96,Q,1.04,Z,-.16,,
,,4.83,C,+.18,4.90,C,5.00,C,OCT 14,97.86,1.13,I,1.14,Q,1.23,H,-.23,,
,,4.25,Q,+.20,4.40,H,4.50,C,OCT 14,98.57,1.33,H,1.35,N,1.33,N,-.33,,
,,3.95,C,+.20,3.90,C,4.00,C,OCT 14,99.29,1.57,N,1.59,I,1.68,B,-.27,,
,,3.50,Q,+.30,3.45,C,3.55,C,OCT 14,100,1.83,C,1.86,A,1.83,I,-.47,,
,,3.10,C,+.26,3.05,C,3.15,C,OCT 14,100.71,2.12,C,2.15,N,2.17,B,-.43,,
,,2.73,C,+.19,2.68,H,2.71,Q,OCT 14,101.43,2.46,N,2.49,C,2.47,C,-.46,,
,,2.37,Z,+.19,2.33,C,2.35,N,OCT 14,102.14,2.82,N,2.85,C,2.85,M,-.55,,
,,2.03,Q,+.14,2.01,H,2.03,N,OCT 14,102.86,3.20,C,3.30,A,3.25,A,-.49,,
,,1.74,Z,+.12,1.73,N,1.75,I,OCT 14,103.57,3.60,C,3.70,C,3.65,Q,-.53,,
,,1.49,I,+.05,1.47,C,1.49,N,OCT 14,104.29,4.05,C,4.15,C,4.25,A,-.55,,
