This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for AAPL on 9/17/14 16:11:16

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
101.61,Q,+.75,101.61,Q,101.62,Q,15 x 31,"56,646,602",101.27,101.80,100.5922

UNDERLYING EXTRA INFO
Yield,PE,EPS,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
1.85%,16.34,6.22,.47,Q,8/7/14,103.74,63.9286,"5,987,867,000",.9006

SEP 14  (2)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,22.07,X,0,24.85,X,25.15,X,APR 15,77.14,.88,X,.93,C,1.08,C,0,,
,,23.70,A,+4.65,24.20,X,24.50,X,APR 15,77.86,.95,C,1.01,C,1.18,C,0,,
,,25.00,Q,0,23.55,X,23.85,X,APR 15,78.57,1.02,C,1.08,C,1.07,N,+.03,,
,,20.10,C,0,22.90,X,23.20,X,APR 15,79.29,1.10,C,1.17,C,1.38,C,0,,
,,22.35,Q,+.20,22.30,C,22.55,C,APR 15,80,1.19,X,1.27,C,1.21,Q,-.17,,
,,20.55,C,0,21.65,X,21.95,C,APR 15,80.71,1.28,C,1.36,C,1.56,C,0,,
,,19.15,N,0,21.00,C,21.30,C,APR 15,81.43,1.38,C,1.45,C,2.50,C,0,,
,,20.24,C,0,20.40,X,20.70,C,APR 15,82.14,1.49,C,1.56,C,1.51,N,-.29,,
,,20.25,N,+.31,20.10,C,20.40,C,APR 15,82.5,1.55,C,1.62,C,1.58,H,0,,
,,20.00,M,0,19.80,X,20.10,C,APR 15,82.86,1.61,C,1.67,C,1.58,X,0,,
,,17.35,C,0,19.20,X,19.45,X,APR 15,83.57,1.72,C,1.80,C,1.70,Q,0,,
,,18.95,C,0,18.60,X,18.85,C,APR 15,84.29,1.85,X,1.92,C,1.88,X,+.01,,
,,17.57,N,+.07,18.05,C,18.30,C,APR 15,85,1.99,X,2.07,C,2.01,A,-.23,,
,,17.70,Q,-.25,17.45,C,17.70,X,APR 15,85.71,2.13,C,2.20,C,2.22,C,0,,
,,17.90,Q,0,16.90,C,17.15,C,APR 15,86.43,2.29,X,2.36,C,2.27,C,0,,
,,15.00,M,0,16.35,C,16.60,C,APR 15,87.14,2.45,X,2.53,C,2.55,X,0,,
,,15.50,H,0,16.05,C,16.30,C,APR 15,87.5,2.54,C,2.62,C,2.57,C,-.38,,
,,14.85,C,0,15.80,C,16.05,C,APR 15,87.86,2.63,X,2.70,C,2.62,W,-.58,,
,,15.45,A,0,15.25,C,15.50,C,APR 15,88.57,2.80,C,2.89,C,2.75,Q,0,,
,,14.88,C,0,14.75,C,14.95,C,APR 15,89.29,3.00,C,3.10,C,3.47,C,0,,
,,14.40,A,+.15,14.30,C,14.45,C,APR 15,90,3.20,C,3.30,C,3.30,C,-.40,,
,,12.87,C,0,13.75,C,13.95,C,APR 15,90.71,3.40,C,3.50,C,3.60,Q,-.30,,
,,12.27,X,0,13.25,C,13.50,C,APR 15,91.43,3.60,C,3.75,C,3.80,Z,0,,
,,13.32,C,0,12.75,C,13.00,C,APR 15,92.14,3.85,X,4.00,C,4.05,M,+.10,,
,,12.75,C,+.75,12.50,C,12.75,C,APR 15,92.5,3.95,C,4.10,C,4.10,A,-.75,,
,,12.52,C,+1.12,12.30,C,12.50,C,APR 15,92.86,4.10,C,4.25,C,4.30,Q,-.60,,
,,11.85,M,-.15,11.85,C,12.05,C,APR 15,93.57,4.35,C,4.50,C,5.18,X,0,,
,,11.60,Q,+.90,11.40,C,11.60,C,APR 15,94.29,4.60,C,4.75,C,5.40,N,0,,
,,10.95,Q,+.15,10.95,C,11.15,C,APR 15,95,4.90,C,5.05,C,4.95,M,-.40,,
,,10.55,X,+.10,10.55,X,10.70,C,APR 15,95.71,5.20,C,5.35,C,5.59,C,-.01,,
,,9.94,C,-.11,10.10,C,10.30,C,APR 15,96.43,5.50,C,5.65,C,6.40,N,0,,
,,9.55,C,-.20,9.75,X,9.90,C,APR 15,97.14,5.80,C,5.90,C,6.58,X,0,,
,,9.51,C,+.16,9.55,C,9.70,C,APR 15,97.5,5.95,C,6.10,C,6.23,C,-.67,,
,,9.50,Z,+.61,9.35,X,9.50,C,APR 15,97.86,6.15,C,6.25,C,7.05,N,0,,
,,9.06,X,+.31,8.95,C,9.15,C,APR 15,98.57,6.45,C,6.60,C,6.95,X,-.45,,
,,8.65,Q,+.10,8.60,X,8.75,C,APR 15,99.29,6.80,C,6.95,C,7.10,X,+.10,,
