517	RWA	Rwanda	07:01:1962	31:12:2006
520	SOM	Somalia	01:07:1960	31:12:2006
522	DJI	Djibouti	27:06:1977	31:12:2006
530	ETH	Ethiopia	11:02:1855	31:12:2006
531	ERI	Eritrea	24:05:1993	31:12:2006
540	ANG	Angola	11:11:1975	31:12:2006
541	MZM	Mozambique	25:06:1975	31:12:2006
551	ZAM	Zambia	24:10:1964	31:12:2006
552	ZIM	Zimbabwe (Rhodesia)	11:11:1965	31:12:2006
553	MAW	Malawi	06:07:1964	31:12:2006
560	SAF	South Africa	31:05:1910	31:12:2006
563	TRA	Transvaal	01:01:1852	30:05:1910
564	OFS	Orange Free State	28:03:1854	30:05:1910
565	NAM	Namibia	21:03:1990	31:12:2006
570	LES	Lesotho	04:10:1966	31:12:2006
571	BOT	Botswana	30:09:1966	31:12:2006
572	SWA	Swaziland	06:09:1968	31:12:2006
580	MAG	Madagascar (Malagasy)	01:01:1816	05:08:1896
580	MAG	Madagascar (Malagasy)	26:06:1960	31:12:2006
581	COM	Comoros	06:07:1975	31:12:2006
590	MAS	Mauritius	12:03:1968	31:12:2006
600	MOR	Morocco	01:01:1816	01:01:1904
600	MOR	Morocco	02:03:1956	31:12:2006
615	ALG	Algeria	01:01:1816	05:07:1830
615	ALG	Algeria	05:07:1962	31:12:2006
616	TUN	Tunisia	01:01:1816	12:05:1881
616	TUN	Tunisia	01:01:1956	31:12:2006
620	LIB	Libya	01:01:1816	31:12:1834
620	LIB	Libya	24:12:1951	31:12:2006
625	SUD	Sudan	01:01:1956	31:12:2006
630	IRN	Iran (Persia)	01:01:1816	31:12:2006
640	TUR	Turkey/Ottoman Empire	01:01:1816	31:12:2006
645	IRQ	Iraq	03:10:1932	31:12:2006
651	EGY	Egypt	01:01:1827	31:12:1855
651	EGY	Egypt	28:02:1922	31:12:2006
652	SYR	Syria	01:01:1946	31:12:2006
660	LEB	Lebanon	22:11:1944	31:12:2006
663	JOR	Jordan	25:05:1946	31:12:2006
666	ISR	Israel	14:05:1948	31:12:2006
670	SAU	Saudi Arabia	23:09:1932	31:12:2006
678	YEM	Yemen (Arab Republic of Yemen)	30:10:1918	31:12:2006
680	YPR	Yemen, People's Republic of	30:11:1967	21:05:1990
690	KUW	Kuwait	19:06:1961	31:12:2006
692	BAH	Bahrain	15:08:1971	31:12:2006
694	QAT	Qatar	03:09:1971	31:12:2006
696	UAE	United Arab Emirates	02:12:1971	31:12:2006
698	OMA	Oman	01:01:1816	31:12:2006
700	AFG	Afghanistan	01:01:1816	30:12:1888
700	AFG	Afghanistan	01:05:1919	31:12:2006
701	TKM	Turkmenistan	27:10:1991	31:12:2006
702	TAJ	Tajikistan	09:09:1991	31:12:2006
703	KYR	Kyrgyz Republic	31:08:1991	31:12:2006
704	UZB	Uzbekistan	31:08:1991	31:12:2006
705	KZK	Kazakhstan	16:12:1991	31:12:2006
710	CHN	China	01:01:1816	31:12:2006
711	TBT	Tibet	01:01:1913	01:10:1950
712	MON	Mongolia	13:03:1921	31:12:2006
713	TAW	Taiwan	08:12:1949	31:12:2006
730	KOR	Korea	01:01:1816	22:08:1910
731	PRK	Korea, People's Republic of	09:09:1948	31:12:2006
732	ROK	Korea, Republic of	15:08:1948	31:12:2006
740	JPN	Japan	01:01:1816	31:12:2006
750	IND	India	15:08:1947	31:12:2006
760	BHU	Bhutan	01:01:1949	31:12:2006
770	PAK	Pakistan	14:08:1947	31:12:2006
771	BNG	Bangladesh	16:12:1971	31:12:2006
775	MYA	Myanmar (Burma)	01:01:1816	31:12:1885
775	MYA	Myanmar (Burma)	04:01:1948	31:12:2006
780	SRI	Sri Lanka (Ceylon)	04:02:1948	31:12:2006
781	MAD	Maldives	26:05:1965	31:12:2006
790	NEP	Nepal	01:01:1816	31:12:2006
800	THI	Thailand	01:01:1816	31:12:2006
811	CAM	Cambodia (Kampuchea)	09:11:1953	31:12:2006
812	LAO	Laos	01:05:1954	31:12:2006
815	VNM	Vietnam (Annam/Cochin China/Tonkin)	01:01:1816	01:01:1893
816	DRV	Vietnam, Democratic Republic of	01:05:1954	31:12:2006
817	RVN	Vietnam, Republic of	01:05:1954	30:04:1975
820	MAL	Malaysia	31:08:1957	31:12:2006
830	SIN	Singapore	09:08:1965	31:12:2006
835	BRU	Brunei	01:01:1984	31:12:2006
840	PHI	Philippines	04:07:1946	31:12:2006
850	INS	Indonesia	17:08:1945	31:12:2006
860	ETM	East Timor	20:05:2002	31:12:2006
900	AUL	Australia	01:01:1901	31:12:2006
910	PNG	Papua New Guinea	16:09:1975	31:12:2006
920	NEW	New Zealand	01:09:1907	31:12:2006
940	SOL	Solomon Islands	07:07:1978	31:12:2006
950	FJI	Fiji	10:10:1970	31:12:2006
